Name,Latitude,Longitude,Capacity,Type
"Location (35.0589, -85.1913)",35.05893709378616,-85.19126630728287,617.0,Large Surface Lot
"Location (35.1319, -85.2351)",35.131905746569025,-85.23508416267263,617.0,Large Surface Lot
"Location (35.1296, -85.2415)",35.12961496104922,-85.2414882245618,605.0,Large Surface Lot
"Location (35.1314, -85.2414)",35.13139592906795,-85.24137288051871,602.0,Large Surface Lot
"Location (35.0142, -85.2121)",35.01418346032025,-85.21209875654519,587.0,Large Surface Lot
"Location (35.1008, -85.2344)",35.100841760155866,-85.23435452124394,577.0,Large Surface Lot
"Location (35.0084, -85.2163)",35.008411879387964,-85.21633805028686,564.0,Large Surface Lot
"Location (35.1830, -85.2430)",35.18295931659633,-85.24300456915017,563.0,Large Surface Lot
Brainerd Hills Baptist Church,35.019002508989445,-85.18597729950287,550.0,Large Surface Lot
"Location (35.0119, -85.2118)",35.01188079539272,-85.2118326042052,549.0,Surface Lot
"Location (35.0338, -85.1606)",35.03382534138487,-85.16058517166555,549.0,Surface Lot
"Location (35.0740, -85.1042)",35.07402760578236,-85.10418341429849,548.0,Large Surface Lot
"Location (35.0956, -85.0595)",35.09556651265185,-85.05946607381921,542.0,Large Surface Lot
"Location (35.0924, -85.3103)",35.092448713271054,-85.310317977814,540.0,Surface Lot
"Location (35.1015, -85.2385)",35.10148800162054,-85.2384686032936,534.0,Large Surface Lot
"Location (35.1304, -85.2379)",35.13038985365189,-85.23785055932902,534.0,Large Surface Lot
"Location (35.0574, -85.2803)",35.05737840983384,-85.28033866520914,531.0,Surface Lot
"Location (35.1323, -85.2382)",35.13232165113325,-85.23820544554705,516.0,Large Surface Lot
"Location (35.0094, -85.3878)",35.009369561888214,-85.38779924020007,515.0,Large Surface Lot
Publix Parking Lot,35.0897466264246,-85.06481290779273,502.0,Large Surface Lot
"Location (35.0554, -85.3148)",35.0553776026438,-85.31484925447826,500.0,Surface Lot
"Location (35.0985, -85.2375)",35.09851750464435,-85.2374742422167,497.0,Surface Lot
"Location (35.0093, -85.2136)",35.009257326929195,-85.21361636866793,496.0,Surface Lot
"Location (35.0567, -85.1286)",35.05672164127609,-85.12857362403021,494.0,Large Surface Lot
"Location (35.0053, -85.1493)",35.00527638841926,-85.14928711220263,494.0,Large Surface Lot
"Location (35.1355, -85.2454)",35.135481632207714,-85.24544501488374,487.0,Large Surface Lot
"Location (35.0353, -85.1609)",35.035286831593424,-85.16085040814873,482.0,Surface Lot
"Location (35.0243, -85.2452)",35.02433660889391,-85.24517328204072,476.0,Surface Lot
"Location (35.0346, -85.2663)",35.034593734966535,-85.26628433594517,475.0,Large Surface Lot
"Location (35.0417, -85.3073)",35.0416857048395,-85.30727089277967,470.0,Surface Lot
"Location (35.1383, -85.2797)",35.13832981837285,-85.27971032334986,469.0,Large Surface Lot
"Location (35.0501, -85.1270)",35.05007756916535,-85.12701820977914,466.0,Large Surface Lot
"Location (35.0302, -85.2171)",35.030150002940104,-85.21707060361618,465.0,Large Surface Lot
"Location (35.0632, -85.3147)",35.06320704833905,-85.31472505386711,453.0,Surface Lot
"Location (35.0081, -85.3889)",35.0081222694736,-85.38890835182633,448.0,Large Surface Lot
"Location (35.0378, -85.2588)",35.037770046413186,-85.2587833294076,446.0,Large Surface Lot
"Location (35.0124, -85.1897)",35.012447108402725,-85.18969775773536,445.0,Large Surface Lot
"Location (35.0857, -85.1316)",35.0857449094479,-85.13159572072541,435.0,Large Surface Lot
"Location (35.0616, -85.1407)",35.06164572803556,-85.14068866904648,421.0,Surface Lot
"Location (35.1287, -85.2380)",35.1286859972292,-85.23798521647329,421.0,Large Surface Lot
"Location (35.0985, -85.2411)",35.09845729676037,-85.24110856650961,420.0,Large Surface Lot
"Location (35.0339, -85.2680)",35.03394636214075,-85.26804489797034,419.0,Large Surface Lot
"Location (35.0828, -85.0824)",35.082771590550486,-85.08236610413945,417.0,Surface Lot
"Location (35.0366, -85.1597)",35.036581030920665,-85.159740597144,416.0,Surface Lot
"Location (35.0475, -85.1568)",35.04753054087454,-85.15675504761904,415.0,Surface Lot
"Location (35.0373, -85.3177)",35.03727279589607,-85.3176627031822,414.0,Large Surface Lot
"Location (35.0980, -85.3290)",35.097971599917855,-85.32898628823338,405.0,Large Surface Lot
"Location (35.0408, -85.2200)",35.040845361025106,-85.21996212200645,404.0,Large Surface Lot
"Location (35.0309, -85.3631)",35.03090094405075,-85.36307598665276,399.0,Large Surface Lot
"Location (35.0743, -85.1868)",35.07431957672703,-85.18676139819767,391.0,Large Surface Lot
Ooltewah High School's Parking Lot #1,35.093087827540764,-85.0619701359579,390.0,Large Surface Lot
"Location (35.0981, -85.2447)",35.09808485959987,-85.24469747855704,390.0,Surface Lot
"Location (35.0810, -85.2970)",35.08099829740266,-85.2970268912236,389.0,Surface Lot
"Location (35.1065, -85.2718)",35.1064619047646,-85.27179130548384,388.0,Surface Lot
"Location (35.1268, -85.2384)",35.12682244388007,-85.23843687887275,379.0,Large Surface Lot
"Location (35.0681, -85.1478)",35.068082884289595,-85.14781948400146,375.0,Surface Lot
"Location (35.0865, -85.1334)",35.086515883300194,-85.13335368023908,371.0,Large Surface Lot
"Location (35.0092, -85.3859)",35.00921737045542,-85.38587507209753,367.0,Large Surface Lot
Highland Plaza,35.138710454503,-85.24873675060144,364.0,Large Surface Lot
"Location (35.0132, -85.1859)",35.01321778952834,-85.18592062374204,356.0,Large Surface Lot
"Location (35.0241, -85.2913)",35.02412802488912,-85.29126523661547,356.0,Large Surface Lot
"Location (35.0978, -85.2685)",35.09784923205833,-85.26848627732961,353.0,Surface Lot
"Location (35.0958, -85.2230)",35.09576465577171,-85.22302818284257,351.0,Surface Lot
"Location (35.0369, -85.1581)",35.036935665504565,-85.15810870204122,350.0,Surface Lot
"Location (35.0152, -85.2073)",35.0152194967613,-85.2073043382263,349.0,Large Surface Lot
"Location (35.0210, -85.2908)",35.02103039683582,-85.29082707361378,346.0,Large Surface Lot
"Location (35.0387, -85.1471)",35.038671423007806,-85.14713584531661,342.0,Large Surface Lot
"Location (35.1246, -85.2392)",35.12464205094291,-85.23919626450387,342.0,Large Surface Lot
"Location (35.0631, -85.1917)",35.06306957344289,-85.19168684542628,338.0,Large Surface Lot
