parking_id,name,capacity,distance_to_vw_m,distance_to_vw_miles,vw_distance_category,optimal_walking_scenario,transit_stops_available,daily_transit_trips,service_quality,reliability_class,transit_access_score,frequency_score,distance_score,capacity_score,location_bonus,final_composite_score,suitability_rating,key_strengths,potential_concerns,final_rank,recommendation_tier
354,"Location (35.0058, -85.2325)",102.0,12198.095708150671,7.58,Optimal Distance,Conservative (500m),,,,,25.63,,100.0,3.2,100.0,,Poor - Not Recommended,Optimal Distance from VW,Limited Transit Access,11,Tier 2: Strong Alternatives
337,"Location (35.0483, -85.3062)",111.0,16332.16557027244,10.15,Far - Acceptable,Moderate (800m),159.0,24077.0,Excellent - High Frequency,High Reliability,98.96,100.0,86.68,3.48,50.0,84.77,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,12,Tier 2: Strong Alternatives
417,"Location (35.0476, -85.3068)",65.0,16400.49522657566,10.19,Far - Acceptable,Moderate (800m),156.0,23988.0,Excellent - High Frequency,High Reliability,98.22,99.63,86.0,2.04,50.0,84.1,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,13,Tier 2: Strong Alternatives
358,"Location (35.0465, -85.3051)",100.0,16278.823650005299,10.12,Far - Acceptable,Extended (1000m),191.0,22998.0,Excellent - High Frequency,High Reliability,99.05,95.52,87.21,3.13,50.0,83.76,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,14,Tier 2: Strong Alternatives
205,"Location (35.0463, -85.3041)",210.0,16187.624910242865,10.06,Far - Acceptable,Extended (1000m),195.0,21869.0,Excellent - High Frequency,High Reliability,100.0,90.83,88.12,6.58,50.0,83.49,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,15,Tier 2: Strong Alternatives
389,"Location (35.0468, -85.3080)",82.0,16529.77547474899,10.27,Far - Acceptable,Moderate (800m),155.0,23583.0,Excellent - High Frequency,High Reliability,97.1,97.95,84.7,2.57,50.0,83.03,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,16,Tier 3: Viable Options
305,"Location (35.0463, -85.3099)",136.0,16707.881492106386,10.38,Far - Acceptable,Extended (1000m),193.0,22428.0,Excellent - High Frequency,High Reliability,99.33,93.15,82.92,4.26,50.0,82.53,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,17,Tier 3: Viable Options
320,"Location (35.0453, -85.3062)",120.0,16404.347568691006,10.19,Far - Acceptable,Extended (1000m),193.0,21775.0,Excellent - High Frequency,High Reliability,98.99,90.44,85.96,3.76,50.0,82.27,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,18,Tier 3: Viable Options
364,"Location (35.0457, -85.3027)",96.0,16078.938046338448,9.99,Far - Acceptable,Extended (1000m),191.0,19882.0,Excellent - High Frequency,High Reliability,98.58,82.58,89.21,3.01,50.0,80.72,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,19,Tier 3: Viable Options
382,"Location (35.0484, -85.3041)",87.0,16145.832784750124,10.03,Far - Acceptable,Extended (1000m),186.0,20169.0,Excellent - High Frequency,High Reliability,98.04,83.77,88.54,2.73,50.0,80.64,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,20,Tier 3: Viable Options
403,"Location (35.0458, -85.3032)",71.0,16122.22954416108,10.02,Far - Acceptable,Extended (1000m),194.0,19532.0,Excellent - High Frequency,High Reliability,99.48,81.12,88.78,2.23,50.0,80.55,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,21,Tier 3: Viable Options
415,"Location (35.0439, -85.3057)",67.0,16388.399951156578,10.18,Far - Acceptable,Extended (1000m),186.0,21100.0,Excellent - High Frequency,High Reliability,95.58,87.64,86.12,2.1,50.0,80.07,Excellent - Highly Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,22,Tier 3: Viable Options
295,"Location (35.0444, -85.3099)",148.0,16751.50025168177,10.41,Far - Acceptable,Extended (1000m),185.0,21351.0,Excellent - High Frequency,High Reliability,95.61,88.68,82.48,4.64,50.0,79.87,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,23,Tier 3: Viable Options
456,"Location (35.0488, -85.3039)",50.0,16113.818764930795,10.01,Far - Acceptable,Extended (1000m),186.0,19451.0,Excellent - High Frequency,High Reliability,97.85,80.79,88.86,1.57,50.0,79.77,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,24,Tier 3: Viable Options
435,"Location (35.0490, -85.3042)",57.0,16138.977126095268,10.03,Far - Acceptable,Extended (1000m),183.0,19908.0,Excellent - High Frequency,High Reliability,96.59,82.68,88.61,1.79,50.0,79.71,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,25,Tier 3: Viable Options
313,"Location (35.0429, -85.3052)",130.0,16369.717616531281,10.17,Far - Acceptable,Extended (1000m),179.0,20894.0,Excellent - High Frequency,High Reliability,93.94,86.78,86.3,4.08,50.0,79.44,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,26,Tier 3: Viable Options
308,"Location (35.0493, -85.3052)",131.0,16222.267759599044,10.08,Far - Acceptable,Extended (1000m),172.0,21178.0,Excellent - High Frequency,High Reliability,91.82,87.96,87.78,4.11,50.0,79.18,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,27,Tier 3: Viable Options
338,"Location (35.0437, -85.3047)",111.0,16308.49029452376,10.13,Far - Acceptable,Extended (1000m),182.0,20218.0,Excellent - High Frequency,High Reliability,94.65,83.97,86.92,3.48,50.0,79.09,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,28,Tier 3: Viable Options
113,"Location (35.0468, -85.3023)",307.0,16015.371946716066,9.95,Far - Acceptable,Extended (1000m),190.0,17283.0,Excellent - High Frequency,High Reliability,98.7,71.78,89.85,9.62,50.0,78.86,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW,29,Tier 3: Viable Options
328,"Location (35.0452, -85.3124)",115.0,16960.252532299142,10.54,Far - Acceptable,Extended (1000m),177.0,20501.0,Excellent - High Frequency,High Reliability,95.0,85.15,80.4,3.61,50.0,78.23,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,30,Tier 3: Viable Options
453,"Location (35.0450, -85.3115)",51.0,16876.701925648158,10.49,Far - Acceptable,Extended (1000m),181.0,20010.0,Excellent - High Frequency,High Reliability,95.77,83.11,81.23,1.6,50.0,77.99,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,31,Tier 4: Marginal Sites
252,"Location (35.0477, -85.3121)",180.0,16874.41713334078,10.49,Far - Acceptable,Extended (1000m),167.0,20898.0,Excellent - High Frequency,High Reliability,91.36,86.8,81.26,5.64,50.0,77.56,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,32,Tier 4: Marginal Sites
61,"Location (35.0417, -85.3073)",470.0,16587.101551142212,10.31,Far - Acceptable,Extended (1000m),168.0,19896.0,Excellent - High Frequency,High Reliability,89.41,82.63,84.13,14.73,50.0,77.22,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,33,Tier 4: Marginal Sites
292,"Location (35.0443, -85.3118)",152.0,16927.433058822888,10.52,Far - Acceptable,Extended (1000m),177.0,19828.0,Excellent - High Frequency,High Reliability,93.31,82.35,80.73,4.76,50.0,77.03,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,34,Tier 4: Marginal Sites
434,"Location (35.0463, -85.3123)",58.0,16919.713707409188,10.51,Far - Acceptable,Extended (1000m),176.0,20235.0,Excellent - High Frequency,High Reliability,92.93,84.04,80.8,1.82,50.0,77.02,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,35,Tier 4: Marginal Sites
290,"Location (35.0503, -85.3092)",154.0,16557.278339854693,10.29,Far - Acceptable,Extended (1000m),159.0,20126.0,Excellent - High Frequency,High Reliability,90.51,83.59,84.43,4.83,50.0,76.97,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,36,Tier 4: Marginal Sites
345,"Location (35.0503, -85.3088)",107.0,16525.463031721294,10.27,Far - Acceptable,Extended (1000m),160.0,20271.0,Excellent - High Frequency,High Reliability,90.31,84.19,84.75,3.35,50.0,76.96,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW,37,Tier 4: Marginal Sites
310,Unum,131.0,16181.457574197351,10.05,Far - Acceptable,Extended (1000m),169.0,18990.0,Excellent - High Frequency,High Reliability,90.74,78.87,88.19,4.11,50.0,76.56,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW,38,Tier 4: Marginal Sites
363,"Location (35.0497, -85.3039)",99.0,16096.553826358062,10.0,Far - Acceptable,Extended (1000m),180.0,17158.0,Excellent - High Frequency,High Reliability,95.28,71.26,89.03,3.1,50.0,76.54,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,39,Tier 4: Marginal Sites
381,"Location (35.0495, -85.3031)",87.0,16029.088627632473,9.96,Far - Acceptable,Extended (1000m),180.0,15961.0,Excellent - High Frequency,High Reliability,95.71,66.29,89.71,2.73,50.0,75.57,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,40,Tier 4: Marginal Sites
383,"Location (35.0446, -85.3130)",87.0,17019.948841998597,10.58,Far - Acceptable,Extended (1000m),169.0,19118.0,Excellent - High Frequency,High Reliability,91.29,79.4,79.8,2.73,50.0,75.1,Good - Recommended,Excellent Transit Access,Far from VW | Limited Capacity,41,Tier 4: Marginal Sites
451,"Location (35.0410, -85.3059)",51.0,16484.3024649258,10.24,Far - Acceptable,Extended (1000m),172.0,18845.0,Excellent - High Frequency,High Reliability,89.28,78.27,85.16,1.6,50.0,74.97,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,42,Tier 4: Marginal Sites
321,"Location (35.0476, -85.3019)",119.0,15966.306868863656,9.92,Far - Acceptable,Extended (1000m),185.0,13922.0,Excellent - High Frequency,High Reliability,97.03,57.82,90.34,3.73,50.0,74.21,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW,43,Tier 4: Marginal Sites
425,"Location (35.0407, -85.3074)",60.0,16623.082664037836,10.33,Far - Acceptable,Extended (1000m),165.0,18252.0,Excellent - High Frequency,High Reliability,88.85,75.81,83.77,1.88,50.0,73.93,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,44,Tier 4: Marginal Sites
448,"Location (35.0480, -85.3132)",52.0,16969.271018552554,10.54,Far - Acceptable,Extended (1000m),157.0,19435.0,Excellent - High Frequency,High Reliability,87.14,80.72,80.31,1.63,50.0,73.76,Good - Recommended,Excellent Transit Access | High Service Frequency | Optimal Distance from VW,Far from VW | Limited Capacity,45,Tier 4: Marginal Sites
406,"Location (35.0507, -85.3050)",71.0,16177.330964942808,10.05,Far - Acceptable,Extended (1000m),157.0,16275.0,Excellent - High Frequency,High Reliability,88.27,67.6,88.23,2.23,50.0,72.57,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,46,Tier 4: Marginal Sites
367,"Location (35.0508, -85.3045)",95.0,16130.691964812297,10.02,Far - Acceptable,Extended (1000m),154.0,16396.0,Excellent - High Frequency,High Reliability,87.43,68.1,88.69,2.98,50.0,72.53,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,47,Tier 4: Marginal Sites
449,"Location (35.0507, -85.3113)",51.0,16736.968889428194,10.4,Far - Acceptable,Extended (1000m),146.0,17817.0,Excellent - High Frequency,High Reliability,87.03,74.0,82.63,1.6,50.0,72.5,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,48,Tier 4: Marginal Sites
283,"Location (35.0485, -85.3134)",165.0,16978.071487409667,10.55,Far - Acceptable,Extended (1000m),151.0,18541.0,Excellent - High Frequency,High Reliability,85.41,77.01,80.22,5.17,50.0,72.48,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW,49,Tier 4: Marginal Sites
298,"Location (35.0400, -85.3066)",147.0,16568.501956752803,10.3,Far - Acceptable,Extended (1000m),165.0,16957.0,Excellent - High Frequency,High Reliability,86.45,70.43,84.31,4.61,50.0,72.01,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW,50,Tier 4: Marginal Sites
404,"Location (35.0420, -85.3024)",71.0,16148.626481685827,10.03,Far - Acceptable,Extended (1000m),164.0,14801.0,Excellent - High Frequency,High Reliability,88.36,61.47,88.51,2.23,50.0,71.14,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,51,Tier 4: Marginal Sites
419,"Location (35.0493, -85.3135)",65.0,16968.231163954893,10.54,Far - Acceptable,Extended (1000m),146.0,17776.0,Excellent - High Frequency,High Reliability,83.75,73.83,80.32,2.04,50.0,70.72,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,52,Tier 4: Marginal Sites
125,"Location (35.0516, -85.3070)",292.0,16337.989328924748,10.15,Far - Acceptable,Extended (1000m),141.0,15038.0,Excellent - High Frequency,High Reliability,85.76,62.46,86.62,9.15,50.0,70.66,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW,53,Tier 4: Marginal Sites
422,"Location (35.0512, -85.3101)",63.0,16628.625284649537,10.33,Far - Acceptable,Extended (1000m),142.0,15720.0,Excellent - High Frequency,High Reliability,86.75,65.29,83.71,1.97,50.0,70.46,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW | Limited Capacity,54,Tier 4: Marginal Sites
267,"Location (35.0507, -85.3124)",173.0,16835.740108463662,10.46,Far - Acceptable,Extended (1000m),137.0,15570.0,Excellent - High Frequency,High Reliability,83.08,64.67,81.64,5.42,50.0,68.77,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW,55,Tier 4: Marginal Sites
211,"Location (35.0503, -85.3132)",207.0,16921.75745981278,10.51,Far - Acceptable,Extended (1000m),137.0,15952.0,Excellent - High Frequency,High Reliability,81.88,66.25,80.78,6.49,50.0,68.62,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW,56,Tier 4: Marginal Sites
242,"Location (35.0389, -85.3084)",188.0,16760.843058359744,10.41,Far - Acceptable,Extended (1000m),149.0,15231.0,Excellent - High Frequency,High Reliability,82.07,63.26,82.39,5.89,50.0,68.21,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Far from VW,57,Tier 4: Marginal Sites
431,48,59.0,15916.949367174317,9.89,Far - Acceptable,Extended (1000m),170.0,10021.0,Excellent - High Frequency,High Reliability,92.29,41.62,90.83,1.85,50.0,68.17,Good - Recommended,Excellent Transit Access | Optimal Distance from VW,Low Service Frequency | Far from VW | Limited Capacity,58,Tier 4: Marginal Sites
249,"Location (35.0405, -85.3140)",181.0,17211.462347659683,10.69,Far - Acceptable,Extended (1000m),140.0,15602.0,Excellent - High Frequency,High Reliability,81.03,64.8,77.89,5.67,50.0,67.26,Good - Recommended,Excellent Transit Access,Far from VW,59,Tier 4: Marginal Sites
331,"Location (35.0399, -85.3122)",114.0,17071.805458025196,10.61,Far - Acceptable,Extended (1000m),145.0,15733.0,Excellent - High Frequency,High Reliability,80.39,65.34,79.28,3.57,50.0,67.2,Good - Recommended,Excellent Transit Access,Far from VW,60,Tier 4: Marginal Sites
106,"Location (35.0463, -85.3161)",324.0,17263.52935324641,10.73,Far - Acceptable,Extended (1000m),135.0,14658.0,Excellent - High Frequency,High Reliability,81.13,60.88,77.36,10.16,50.0,66.66,Good - Recommended,Excellent Transit Access,Far from VW,61,Tier 4: Marginal Sites
25,"Location (35.0486, -85.3163)",794.0,17232.03275302098,10.71,Far - Acceptable,Extended (1000m),123.0,14433.0,Excellent - High Frequency,High Reliability,77.06,59.95,77.68,24.89,50.0,66.33,Good - Recommended,,Far from VW,62,Tier 4: Marginal Sites
157,"Location (35.0387, -85.3114)",255.0,17034.869119738145,10.58,Far - Acceptable,Extended (1000m),136.0,14582.0,Excellent - High Frequency,High Reliability,79.18,60.56,79.65,7.99,50.0,66.04,Good - Recommended,,Far from VW,63,Tier 4: Marginal Sites
268,"Location (35.0417, -85.2999)",172.0,15931.2022056516,9.9,Far - Acceptable,Extended (1000m),151.0,8953.0,Excellent - High Frequency,High Reliability,81.89,37.18,90.69,5.39,50.0,63.23,Fair - Acceptable with Limitations,Excellent Transit Access | Optimal Distance from VW,Low Service Frequency | Far from VW,64,Tier 4: Marginal Sites
137,"Location (35.0505, -85.3152)",281.0,17093.898998065302,10.62,Far - Acceptable,Extended (1000m),113.0,13831.0,Excellent - High Frequency,High Reliability,73.67,57.44,79.06,8.81,50.0,63.02,Fair - Acceptable with Limitations,,Far from VW,65,Tier 4: Marginal Sites
322,"Location (35.0542, -85.3069)",118.0,16281.397583265654,10.12,Far - Acceptable,Extended (1000m),112.0,10979.0,Excellent - High Frequency,High Reliability,73.77,45.6,87.19,3.7,50.0,61.21,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,66,Tier 4: Marginal Sites
341,"Location (35.0373, -85.3118)",108.0,17108.255638288698,10.63,Far - Acceptable,Extended (1000m),122.0,11642.0,Excellent - High Frequency,High Reliability,75.67,48.35,78.92,3.39,50.0,60.98,Fair - Acceptable with Limitations,,Low Service Frequency | Far from VW,67,Tier 4: Marginal Sites
317,"Location (35.0377, -85.3131)",121.0,17212.887363914637,10.7,Far - Acceptable,Extended (1000m),119.0,11981.0,Excellent - High Frequency,High Reliability,74.87,49.76,77.87,3.79,50.0,60.84,Fair - Acceptable with Limitations,,Low Service Frequency | Far from VW,68,Tier 4: Marginal Sites
160,"Location (35.0471, -85.3177)",253.0,17390.384389220973,10.81,Far - Acceptable,Extended (1000m),114.0,10847.0,Excellent - High Frequency,High Reliability,77.54,45.05,76.1,7.93,50.0,60.79,Fair - Acceptable with Limitations,,Low Service Frequency | Far from VW,69,Tier 4: Marginal Sites
18,"Location (35.0379, -85.3148)",881.0,17355.78547869321,10.78,Far - Acceptable,Extended (1000m),109.0,10490.0,Excellent - High Frequency,High Reliability,72.51,43.57,76.44,27.62,50.0,60.45,Fair - Acceptable with Limitations,,Low Service Frequency | Far from VW,70,Tier 4: Marginal Sites
222,32,201.0,15746.740184657952,9.78,Far - Acceptable,Extended (1000m),125.0,7200.0,Excellent - High Frequency,High Reliability,77.94,29.9,92.53,6.3,50.0,60.29,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,71,Tier 4: Marginal Sites
287,"Location (35.0529, -85.3128)",156.0,16839.151817133115,10.46,Far - Acceptable,Extended (1000m),98.0,10582.0,Excellent - High Frequency,High Reliability,71.37,43.95,81.61,4.89,50.0,58.85,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,72,Tier 4: Marginal Sites
385,"Location (35.0453, -85.2959)",85.0,15487.343342288783,9.62,Far - Acceptable,Extended (1000m),99.0,9279.0,Excellent - High Frequency,High Reliability,68.21,38.54,95.13,2.66,50.0,58.71,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW | Limited Capacity,73,Tier 4: Marginal Sites
347,"Location (35.0544, -85.3102)",106.0,16575.195954255156,10.3,Far - Acceptable,Extended (1000m),103.0,9549.0,Excellent - High Frequency,High Reliability,72.06,39.66,84.25,3.32,50.0,58.42,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,74,Tier 4: Marginal Sites
191,"Location (35.0469, -85.2948)",220.0,15347.210663359187,9.54,Far - Acceptable,Extended (1000m),88.0,8819.0,Excellent - High Frequency,High Reliability,66.89,36.63,96.53,6.9,50.0,58.41,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,75,Tier 4: Marginal Sites
224,"Location (35.0470, -85.2966)",198.0,15500.740469863349,9.63,Far - Acceptable,Extended (1000m),100.0,8902.0,Excellent - High Frequency,High Reliability,67.51,36.97,94.99,6.21,50.0,58.37,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,76,Tier 4: Marginal Sites
291,"Location (35.0427, -85.2985)",154.0,15778.425307368572,9.8,Far - Acceptable,Extended (1000m),126.0,6191.0,Excellent - High Frequency,High Reliability,75.56,25.71,92.22,4.83,50.0,58.08,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,77,Tier 4: Marginal Sites
372,"Location (35.0364, -85.3057)",89.0,16594.150167871016,10.31,Far - Acceptable,Extended (1000m),129.0,8474.0,Excellent - High Frequency,High Reliability,72.46,35.2,84.06,2.79,50.0,57.37,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW | Limited Capacity,78,Tier 4: Marginal Sites
284,33,163.0,15640.676874620724,9.72,Far - Acceptable,Extended (1000m),94.0,7558.0,Excellent - High Frequency,High Reliability,68.92,31.39,93.59,5.11,50.0,57.14,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,79,Tier 4: Marginal Sites
352,"Location (35.0362, -85.3051)",103.0,16551.349007836325,10.28,Far - Acceptable,Extended (1000m),129.0,7958.0,Excellent - High Frequency,High Reliability,71.86,33.05,84.49,3.23,50.0,56.73,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,80,Tier 4: Marginal Sites
371,"Location (35.0433, -85.2963)",90.0,15569.144624893748,9.67,Far - Acceptable,Extended (1000m),94.0,7684.0,Excellent - High Frequency,High Reliability,66.91,31.91,94.31,2.82,50.0,56.39,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW | Limited Capacity,81,Tier 4: Marginal Sites
255,"Location (35.0490, -85.2944)",179.0,15265.89405365675,9.49,Far - Acceptable,Extended (1000m),75.0,7725.0,Excellent - High Frequency,High Reliability,64.45,32.08,97.34,5.61,50.0,56.33,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,82,Tier 4: Marginal Sites
405,"Location (35.0361, -85.3092)",71.0,16916.238030758424,10.51,Far - Acceptable,Extended (1000m),113.0,8500.0,Excellent - High Frequency,High Reliability,71.52,35.3,80.84,2.23,50.0,56.32,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW | Limited Capacity,83,Tier 4: Marginal Sites
446,"Location (35.0412, -85.2989)",52.0,15856.884935670714,9.85,Far - Acceptable,Extended (1000m),129.0,5015.0,Excellent - High Frequency,High Reliability,74.76,20.83,91.43,1.63,50.0,56.06,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW | Limited Capacity,84,Tier 4: Marginal Sites
327,"Location (35.0551, -85.3114)",116.0,16669.476794884038,10.36,Far - Acceptable,Extended (1000m),91.0,8848.0,Excellent - High Frequency,High Reliability,68.09,36.75,83.31,3.64,50.0,55.95,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,85,Tier 4: Marginal Sites
373,"Location (35.0540, -85.3125)",89.0,16785.73066389898,10.43,Far - Acceptable,Extended (1000m),82.0,9814.0,Excellent - High Frequency,High Reliability,66.3,40.76,82.14,2.79,50.0,55.92,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW | Limited Capacity,86,Tier 4: Marginal Sites
165,"Location (35.0439, -85.2878)",249.0,14801.097784879394,9.2,Optimal Distance,Extended (1000m),64.0,6034.0,Excellent - High Frequency,High Reliability,59.59,25.06,100.0,7.81,100.0,55.88,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency,87,Tier 4: Marginal Sites
108,"Location (35.0480, -85.2928)",320.0,15139.132416917933,9.41,Far - Acceptable,Extended (1000m),68.0,7076.0,Excellent - High Frequency,High Reliability,62.38,29.39,98.61,10.03,50.0,55.52,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency | Far from VW,88,Tier 4: Marginal Sites
197,"Location (35.0457, -85.2877)",218.0,14747.400344846877,9.16,Optimal Distance,Extended (1000m),59.0,5835.0,Excellent - High Frequency,High Reliability,59.1,24.23,100.0,6.83,100.0,55.38,Fair - Acceptable with Limitations,Optimal Distance from VW,Low Service Frequency,89,Tier 4: Marginal Sites
